,HOY,DOY,Month,Day,Hour,Load
2016-01-09 16:00:00,209,9,1,9,17,740
2016-01-09 17:00:00,210,9,1,9,18,740
2016-01-09 18:00:00,211,9,1,9,19,760
2016-01-09 19:00:00,212,9,1,9,20,720
2016-01-09 20:00:00,213,9,1,9,21,710
2016-01-09 21:00:00,214,9,1,9,22,670
2016-01-09 22:00:00,215,9,1,9,23,640
2016-01-09 23:00:00,216,9,1,9,24,620
2016-01-10 00:00:00,217,10,1,10,1,570
2016-01-10 01:00:00,218,10,1,10,2,530
2016-01-10 02:00:00,219,10,1,10,3,520
2016-01-10 03:00:00,220,10,1,10,4,520
2016-01-10 04:00:00,221,10,1,10,5,510
2016-01-10 05:00:00,222,10,1,10,6,550
2016-01-10 06:00:00,223,10,1,10,7,610
2016-01-10 07:00:00,224,10,1,10,8,650
2016-01-10 08:00:00,225,10,1,10,9,730
2016-01-10 09:00:00,226,10,1,10,10,700
2016-01-10 10:00:00,227,10,1,10,11,690
2016-01-10 11:00:00,228,10,1,10,12,710
2016-01-10 12:00:00,229,10,1,10,13,710
2016-01-10 13:00:00,230,10,1,10,14,650
2016-01-10 14:00:00,231,10,1,10,15,670
2016-01-10 15:00:00,232,10,1,10,16,690
2016-01-10 16:00:00,233,10,1,10,17,740
2016-01-10 17:00:00,234,10,1,10,18,740
2016-01-10 18:00:00,235,10,1,10,19,760
2016-01-10 19:00:00,236,10,1,10,20,720
2016-01-10 20:00:00,237,10,1,10,21,710
2016-01-10 21:00:00,238,10,1,10,22,670
2016-01-10 22:00:00,239,10,1,10,23,640
2016-01-10 23:00:00,240,10,1,10,24,620
2016-01-11 00:00:00,241,11,1,11,1,570
2016-01-11 01:00:00,242,11,1,11,2,530
2016-01-11 02:00:00,243,11,1,11,3,520
2016-01-11 03:00:00,244,11,1,11,4,520
2016-01-11 04:00:00,245,11,1,11,5,510
2016-01-11 05:00:00,246,11,1,11,6,550
2016-01-11 06:00:00,247,11,1,11,7,610
2016-01-11 07:00:00,248,11,1,11,8,650
2016-01-11 08:00:00,249,11,1,11,9,730
2016-01-11 09:00:00,250,11,1,11,10,700
2016-01-11 10:00:00,251,11,1,11,11,690
2016-01-11 11:00:00,252,11,1,11,12,710
2016-01-11 12:00:00,253,11,1,11,13,710
2016-01-11 13:00:00,254,11,1,11,14,650
2016-01-11 14:00:00,255,11,1,11,15,670
2016-01-11 15:00:00,256,11,1,11,16,690
2016-01-11 16:00:00,257,11,1,11,17,740
2016-01-11 17:00:00,258,11,1,11,18,740
2016-01-11 18:00:00,259,11,1,11,19,760
2016-01-11 19:00:00,260,11,1,11,20,720
2016-01-11 20:00:00,261,11,1,11,21,710
2016-01-11 21:00:00,262,11,1,11,22,670
2016-01-11 22:00:00,263,11,1,11,23,640
2016-01-11 23:00:00,264,11,1,11,24,620
2016-01-12 00:00:00,265,12,1,12,1,570
2016-01-12 01:00:00,266,12,1,12,2,530
2016-01-12 02:00:00,267,12,1,12,3,520
2016-01-12 03:00:00,268,12,1,12,4,520
2016-01-12 04:00:00,269,12,1,12,5,510
2016-01-12 05:00:00,270,12,1,12,6,550
2016-01-12 06:00:00,271,12,1,12,7,610
2016-01-12 07:00:00,272,12,1,12,8,650
2016-01-12 08:00:00,273,12,1,12,9,730
2016-01-12 09:00:00,274,12,1,12,10,700
2016-01-12 10:00:00,275,12,1,12,11,690
2016-01-12 11:00:00,276,12,1,12,12,710
2016-01-12 12:00:00,277,12,1,12,13,710
2016-01-12 13:00:00,278,12,1,12,14,650
2016-01-12 14:00:00,279,12,1,12,15,670
2016-01-12 15:00:00,280,12,1,12,16,690
2016-01-12 16:00:00,281,12,1,12,17,740
2016-01-12 17:00:00,282,12,1,12,18,740
2016-01-12 18:00:00,283,12,1,12,19,760
2016-01-12 19:00:00,284,12,1,12,20,720
2016-01-12 20:00:00,285,12,1,12,21,710
2016-01-12 21:00:00,286,12,1,12,22,670
2016-01-12 22:00:00,287,12,1,12,23,640
2016-01-12 23:00:00,288,12,1,12,24,620
2016-01-13 00:00:00,289,13,1,13,1,570
2016-01-13 01:00:00,290,13,1,13,2,530
2016-01-13 02:00:00,291,13,1,13,3,520
2016-01-13 03:00:00,292,13,1,13,4,520
2016-01-13 04:00:00,293,13,1,13,5,510
2016-01-13 05:00:00,294,13,1,13,6,550
2016-01-13 06:00:00,295,13,1,13,7,610
2016-01-13 07:00:00,296,13,1,13,8,650
2016-01-13 08:00:00,297,13,1,13,9,730
2016-01-13 09:00:00,298,13,1,13,10,700
2016-01-13 10:00:00,299,13,1,13,11,690
2016-01-13 11:00:00,300,13,1,13,12,710
2016-01-13 12:00:00,301,13,1,13,13,710
2016-01-13 13:00:00,302,13,1,13,14,650
2016-01-13 14:00:00,303,13,1,13,15,670
2016-01-13 15:00:00,304,13,1,13,16,690
2016-01-13 16:00:00,305,13,1,13,17,740
2016-01-13 17:00:00,306,13,1,13,18,740
2016-01-13 18:00:00,307,13,1,13,19,760
2016-01-13 19:00:00,308,13,1,13,20,720
2016-01-13 20:00:00,309,13,1,13,21,710
2016-01-13 21:00:00,310,13,1,13,22,670
2016-01-13 22:00:00,311,13,1,13,23,640
2016-01-13 23:00:00,312,13,1,13,24,620
2016-01-14 00:00:00,313,14,1,14,1,570
2016-01-14 01:00:00,314,14,1,14,2,530
2016-01-14 02:00:00,315,14,1,14,3,520
2016-01-14 03:00:00,316,14,1,14,4,520
2016-01-14 04:00:00,317,14,1,14,5,510
2016-01-14 05:00:00,318,14,1,14,6,550
2016-01-14 06:00:00,319,14,1,14,7,610
2016-01-14 07:00:00,320,14,1,14,8,650
2016-01-14 08:00:00,321,14,1,14,9,730
2016-01-14 09:00:00,322,14,1,14,10,700
2016-01-14 10:00:00,323,14,1,14,11,690
2016-01-14 11:00:00,324,14,1,14,12,710
2016-01-14 12:00:00,325,14,1,14,13,710
2016-01-14 13:00:00,326,14,1,14,14,650
2016-01-14 14:00:00,327,14,1,14,15,670
2016-01-14 15:00:00,328,14,1,14,16,690
2016-01-14 16:00:00,329,14,1,14,17,740
2016-01-14 17:00:00,330,14,1,14,18,740
2016-01-14 18:00:00,331,14,1,14,19,760
2016-01-14 19:00:00,332,14,1,14,20,720
2016-01-14 20:00:00,333,14,1,14,21,710
2016-01-14 21:00:00,334,14,1,14,22,670
2016-01-14 22:00:00,335,14,1,14,23,640
2016-01-14 23:00:00,336,14,1,14,24,620
2016-01-15 00:00:00,337,15,1,15,1,570
2016-01-15 01:00:00,338,15,1,15,2,530
2016-01-15 02:00:00,339,15,1,15,3,520
2016-01-15 03:00:00,340,15,1,15,4,520
2016-01-15 04:00:00,341,15,1,15,5,510
2016-01-15 05:00:00,342,15,1,15,6,550
2016-01-15 06:00:00,343,15,1,15,7,610
2016-01-15 07:00:00,344,15,1,15,8,650
2016-01-15 08:00:00,345,15,1,15,9,730
2016-01-15 09:00:00,346,15,1,15,10,700
2016-01-15 10:00:00,347,15,1,15,11,690
2016-01-15 11:00:00,348,15,1,15,12,710
2016-01-15 12:00:00,349,15,1,15,13,710
2016-01-15 13:00:00,350,15,1,15,14,650
2016-01-15 14:00:00,351,15,1,15,15,670
2016-01-15 15:00:00,352,15,1,15,16,690
2016-01-15 16:00:00,353,15,1,15,17,740
2016-01-15 17:00:00,354,15,1,15,18,740
2016-01-15 18:00:00,355,15,1,15,19,760
2016-01-15 19:00:00,356,15,1,15,20,720
2016-01-15 20:00:00,357,15,1,15,21,710
2016-01-15 21:00:00,358,15,1,15,22,670
2016-01-15 22:00:00,359,15,1,15,23,640
2016-01-15 23:00:00,360,15,1,15,24,620
2016-01-16 00:00:00,361,16,1,16,1,570
2016-01-16 01:00:00,362,16,1,16,2,530
2016-01-16 02:00:00,363,16,1,16,3,520
2016-01-16 03:00:00,364,16,1,16,4,520
2016-01-16 04:00:00,365,16,1,16,5,510
2016-01-16 05:00:00,366,16,1,16,6,550
2016-01-16 06:00:00,367,16,1,16,7,610
2016-01-16 07:00:00,368,16,1,16,8,650
2016-01-16 08:00:00,369,16,1,16,9,730
2016-01-16 09:00:00,370,16,1,16,10,700
2016-01-16 10:00:00,371,16,1,16,11,690
2016-01-16 11:00:00,372,16,1,16,12,710
2016-01-16 12:00:00,373,16,1,16,13,710
2016-01-16 13:00:00,374,16,1,16,14,650
2016-01-16 14:00:00,375,16,1,16,15,670
2016-01-16 15:00:00,376,16,1,16,16,690
2016-01-16 16:00:00,377,16,1,16,17,740
2016-01-16 17:00:00,378,16,1,16,18,740
2016-01-16 18:00:00,379,16,1,16,19,760
2016-01-16 19:00:00,380,16,1,16,20,720
2016-01-16 20:00:00,381,16,1,16,21,710
2016-01-16 21:00:00,382,16,1,16,22,670
2016-01-16 22:00:00,383,16,1,16,23,640
2016-01-16 23:00:00,384,16,1,16,24,620
2016-01-17 00:00:00,385,17,1,17,1,570
2016-01-17 01:00:00,386,17,1,17,2,530
2016-01-17 02:00:00,387,17,1,17,3,520
2016-01-17 03:00:00,388,17,1,17,4,520
2016-01-17 04:00:00,389,17,1,17,5,510
2016-01-17 05:00:00,390,17,1,17,6,550
2016-01-17 06:00:00,391,17,1,17,7,610
2016-01-17 07:00:00,392,17,1,17,8,650
2016-01-17 08:00:00,393,17,1,17,9,730
2016-01-17 09:00:00,394,17,1,17,10,700
2016-01-17 10:00:00,395,17,1,17,11,690
2016-01-17 11:00:00,396,17,1,17,12,710
2016-01-17 12:00:00,397,17,1,17,13,710
2016-01-17 13:00:00,398,17,1,17,14,650
2016-01-17 14:00:00,399,17,1,17,15,670
2016-01-17 15:00:00,400,17,1,17,16,690
2016-01-17 16:00:00,401,17,1,17,17,740
2016-01-17 17:00:00,402,17,1,17,18,740
2016-01-17 18:00:00,403,17,1,17,19,760
2016-01-17 19:00:00,404,17,1,17,20,720
2016-01-17 20:00:00,405,17,1,17,21,710
2016-01-17 21:00:00,406,17,1,17,22,670
2016-01-17 22:00:00,407,17,1,17,23,640
2016-01-17 23:00:00,408,17,1,17,24,620
2016-01-18 00:00:00,409,18,1,18,1,570
2016-01-18 01:00:00,410,18,1,18,2,530
2016-01-18 02:00:00,411,18,1,18,3,520
2016-01-18 03:00:00,412,18,1,18,4,520
2016-01-18 04:00:00,413,18,1,18,5,510
2016-01-18 05:00:00,414,18,1,18,6,550
2016-01-18 06:00:00,415,18,1,18,7,610
2016-01-18 07:00:00,416,18,1,18,8,650
2016-01-18 08:00:00,417,18,1,18,9,730
2016-01-18 09:00:00,418,18,1,18,10,700
2016-01-18 10:00:00,419,18,1,18,11,690
2016-01-18 11:00:00,420,18,1,18,12,710
2016-01-18 12:00:00,421,18,1,18,13,710
2016-01-18 13:00:00,422,18,1,18,14,650
2016-01-18 14:00:00,423,18,1,18,15,670
2016-01-18 15:00:00,424,18,1,18,16,690
2016-01-18 16:00:00,425,18,1,18,17,740
2016-01-18 17:00:00,426,18,1,18,18,740
2016-01-18 18:00:00,427,18,1,18,19,760
2016-01-18 19:00:00,428,18,1,18,20,720
2016-01-18 20:00:00,429,18,1,18,21,710
2016-01-18 21:00:00,430,18,1,18,22,670
2016-01-18 22:00:00,431,18,1,18,23,640
2016-01-18 23:00:00,432,18,1,18,24,620
2016-01-19 00:00:00,433,19,1,19,1,570
2016-01-19 01:00:00,434,19,1,19,2,530
2016-01-19 02:00:00,435,19,1,19,3,520
2016-01-19 03:00:00,436,19,1,19,4,520
2016-01-19 04:00:00,437,19,1,19,5,510
2016-01-19 05:00:00,438,19,1,19,6,550
2016-01-19 06:00:00,439,19,1,19,7,610
2016-01-19 07:00:00,440,19,1,19,8,650
2016-01-19 08:00:00,441,19,1,19,9,730
2016-01-19 09:00:00,442,19,1,19,10,700
2016-01-19 10:00:00,443,19,1,19,11,690
2016-01-19 11:00:00,444,19,1,19,12,710
2016-01-19 12:00:00,445,19,1,19,13,710
2016-01-19 13:00:00,446,19,1,19,14,650
2016-01-19 14:00:00,447,19,1,19,15,670
2016-01-19 15:00:00,448,19,1,19,16,690
2016-01-19 16:00:00,449,19,1,19,17,740
2016-01-19 17:00:00,450,19,1,19,18,740
2016-01-19 18:00:00,451,19,1,19,19,760
2016-01-19 19:00:00,452,19,1,19,20,720
2016-01-19 20:00:00,453,19,1,19,21,710
2016-01-19 21:00:00,454,19,1,19,22,670
2016-01-19 22:00:00,455,19,1,19,23,640
2016-01-19 23:00:00,456,19,1,19,24,620
2016-01-20 00:00:00,457,20,1,20,1,570
2016-01-20 01:00:00,458,20,1,20,2,530
2016-01-20 02:00:00,459,20,1,20,3,520
2016-01-20 03:00:00,460,20,1,20,4,520
2016-01-20 04:00:00,461,20,1,20,5,510
2016-01-20 05:00:00,462,20,1,20,6,550
2016-01-20 06:00:00,463,20,1,20,7,610
2016-01-20 07:00:00,464,20,1,20,8,650
2016-01-20 08:00:00,465,20,1,20,9,730
2016-01-20 09:00:00,466,20,1,20,10,700
2016-01-20 10:00:00,467,20,1,20,11,690
2016-01-20 11:00:00,468,20,1,20,12,710
2016-01-20 12:00:00,469,20,1,20,13,710
2016-01-20 13:00:00,470,20,1,20,14,650
2016-01-20 14:00:00,471,20,1,20,15,670
2016-01-20 15:00:00,472,20,1,20,16,690
2016-01-20 16:00:00,473,20,1,20,17,740
2016-01-20 17:00:00,474,20,1,20,18,740
2016-01-20 18:00:00,475,20,1,20,19,760
2016-01-20 19:00:00,476,20,1,20,20,720
2016-01-20 20:00:00,477,20,1,20,21,710
2016-01-20 21:00:00,478,20,1,20,22,670
2016-01-20 22:00:00,479,20,1,20,23,640
2016-01-20 23:00:00,480,20,1,20,24,620
2016-01-21 00:00:00,481,21,1,21,1,570
2016-01-21 01:00:00,482,21,1,21,2,530
2016-01-21 02:00:00,483,21,1,21,3,520
2016-01-21 03:00:00,484,21,1,21,4,520
2016-01-21 04:00:00,485,21,1,21,5,510
2016-01-21 05:00:00,486,21,1,21,6,550
2016-01-21 06:00:00,487,21,1,21,7,610
2016-01-21 07:00:00,488,21,1,21,8,650
2016-01-21 08:00:00,489,21,1,21,9,730
2016-01-21 09:00:00,490,21,1,21,10,700
2016-01-21 10:00:00,491,21,1,21,11,690
2016-01-21 11:00:00,492,21,1,21,12,710
2016-01-21 12:00:00,493,21,1,21,13,710
2016-01-21 13:00:00,494,21,1,21,14,650
2016-01-21 14:00:00,495,21,1,21,15,670
2016-01-21 15:00:00,496,21,1,21,16,690
2016-01-21 16:00:00,497,21,1,21,17,740
2016-01-21 17:00:00,498,21,1,21,18,740
2016-01-21 18:00:00,499,21,1,21,19,760
2016-01-21 19:00:00,500,21,1,21,20,720
2016-01-21 20:00:00,501,21,1,21,21,710
2016-01-21 21:00:00,502,21,1,21,22,670
2016-01-21 22:00:00,503,21,1,21,23,640
2016-01-21 23:00:00,504,21,1,21,24,620
2016-01-22 00:00:00,505,22,1,22,1,570
2016-01-22 01:00:00,506,22,1,22,2,530
2016-01-22 02:00:00,507,22,1,22,3,520
2016-01-22 03:00:00,508,22,1,22,4,520
2016-01-22 04:00:00,509,22,1,22,5,510
2016-01-22 05:00:00,510,22,1,22,6,550
2016-01-22 06:00:00,511,22,1,22,7,610
2016-01-22 07:00:00,512,22,1,22,8,650
2016-01-22 08:00:00,513,22,1,22,9,730
2016-01-22 09:00:00,514,22,1,22,10,700
2016-01-22 10:00:00,515,22,1,22,11,690
2016-01-22 11:00:00,516,22,1,22,12,710
2016-01-22 12:00:00,517,22,1,22,13,710
2016-01-22 13:00:00,518,22,1,22,14,650
2016-01-22 14:00:00,519,22,1,22,15,670
2016-01-22 15:00:00,520,22,1,22,16,690
2016-01-22 16:00:00,521,22,1,22,17,740
2016-01-22 17:00:00,522,22,1,22,18,740
2016-01-22 18:00:00,523,22,1,22,19,760
2016-01-22 19:00:00,524,22,1,22,20,720
2016-01-22 20:00:00,525,22,1,22,21,710
2016-01-22 21:00:00,526,22,1,22,22,670
2016-01-22 22:00:00,527,22,1,22,23,640
2016-01-22 23:00:00,528,22,1,22,24,620
2016-01-23 00:00:00,529,23,1,23,1,570
2016-01-23 01:00:00,530,23,1,23,2,530
2016-01-23 02:00:00,531,23,1,23,3,520
2016-01-23 03:00:00,532,23,1,23,4,520
2016-01-23 04:00:00,533,23,1,23,5,510
2016-01-23 05:00:00,534,23,1,23,6,550
2016-01-23 06:00:00,535,23,1,23,7,610
2016-01-23 07:00:00,536,23,1,23,8,650
2016-01-23 08:00:00,537,23,1,23,9,730
2016-01-23 09:00:00,538,23,1,23,10,700
2016-01-23 10:00:00,539,23,1,23,11,690
2016-01-23 11:00:00,540,23,1,23,12,710
2016-01-23 12:00:00,541,23,1,23,13,710
2016-01-23 13:00:00,542,23,1,23,14,650
2016-01-23 14:00:00,543,23,1,23,15,670
2016-01-23 15:00:00,544,23,1,23,16,690
2016-01-23 16:00:00,545,23,1,23,17,740
2016-01-23 17:00:00,546,23,1,23,18,740
2016-01-23 18:00:00,547,23,1,23,19,760
2016-01-23 19:00:00,548,23,1,23,20,720
2016-01-23 20:00:00,549,23,1,23,21,710
2016-01-23 21:00:00,550,23,1,23,22,670
2016-01-23 22:00:00,551,23,1,23,23,640
2016-01-23 23:00:00,552,23,1,23,24,620
2016-01-24 00:00:00,553,24,1,24,1,570
2016-01-24 01:00:00,554,24,1,24,2,530
2016-01-24 02:00:00,555,24,1,24,3,520
2016-01-24 03:00:00,556,24,1,24,4,520
2016-01-24 04:00:00,557,24,1,24,5,510
2016-01-24 05:00:00,558,24,1,24,6,550
