Latitude (decimal degrees): 67.554
Longitude (decimal degrees): 133.390
Elevation (m): 141.0
month,year
1,2019
2,2005
3,2016
4,2008
5,2017
6,2010
7,2010
8,2009
9,2008
10,2013
11,2013
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190104:1200,-28.14,76.5,0.0,-0.0,0.0,187.2,0.76,274.0,99461.0
20190104:1300,-28.68,76.2,0.0,-0.0,0.0,185.65,0.76,267.0,99539.0
20190104:1400,-29.23,75.95,0.0,-0.0,0.0,182.2,0.83,258.0,99529.0
20190104:1500,-29.56,75.6,0.0,-0.0,0.0,183.55,0.9,250.0,99569.0
20190104:1600,-29.97,75.3,0.0,-0.0,0.0,179.5,0.97,248.0,99598.0
20190104:1700,-30.68,74.8,0.0,-0.0,0.0,169.3,1.03,248.0,99687.0
20190104:1800,-31.55,74.35,0.0,-0.0,0.0,164.45,1.1,247.0,99667.0
20190104:1900,-31.61,74.9,0.0,-0.0,0.0,156.35,1.1,254.0,99756.0
20190104:2000,-33.2,74.2,0.0,-0.0,0.0,143.45,1.24,256.0,99765.0
20190104:2100,-34.67,73.6,0.0,-0.0,0.0,139.95,1.31,253.0,99824.0
20190104:2200,-35.98,72.95,0.0,-0.0,0.0,137.85,1.38,249.0,99884.0
20190104:2300,-36.93,72.2,0.0,-0.0,0.0,136.5,1.31,243.0,99962.0
20190105:0000,-37.97,71.7,0.0,-0.0,0.0,132.45,1.31,239.0,100002.0
20190105:0100,-38.63,71.3,0.0,-0.0,0.0,134.25,1.31,237.0,100051.0
20190105:0200,-39.1,71.1,0.0,-0.0,0.0,135.15,1.31,236.0,100100.0
20190105:0300,-39.57,70.85,0.0,-0.0,0.0,129.95,1.38,236.0,100110.0
20190105:0400,-39.88,70.8,0.0,-0.0,0.0,129.75,1.38,234.0,100179.0
20190105:0500,-40.12,70.7,0.0,-0.0,0.0,128.8,1.31,230.0,100198.0
20190105:0600,-40.38,70.7,0.0,-0.0,0.0,126.65,1.31,225.0,100247.0
20190105:0700,-40.88,70.25,0.0,-0.0,0.0,131.1,1.45,218.0,100306.0
20190105:0800,-41.15,69.65,0.0,-0.0,0.0,133.8,1.38,216.0,100346.0
20190105:0900,-41.2,69.6,0.0,-0.0,0.0,133.6,1.38,214.0,100385.0
20190105:1000,-41.29,69.6,0.0,-0.0,0.0,129.35,1.45,210.0,100434.0
20190105:1100,-41.41,69.8,0.0,-0.0,0.0,126.85,1.45,206.0,100454.0
20190105:1200,-41.68,69.8,0.0,-0.0,0.0,123.0,1.52,202.0,100493.0
20190105:1300,-41.57,69.4,0.0,-0.0,0.0,136.3,1.45,201.0,100493.0
20190105:1400,-41.67,69.5,0.0,-0.0,0.0,126.85,1.38,197.0,100474.0
20190105:1500,-41.67,69.65,0.0,-0.0,0.0,126.3,1.38,189.0,100493.0
20190105:1600,-41.8,69.7,0.0,-0.0,0.0,122.8,1.31,185.0,100474.0
20190105:1700,-41.88,69.6,0.0,-0.0,0.0,118.95,1.24,189.0,100493.0
20190105:1800,-41.91,68.95,0.0,-0.0,0.0,121.25,1.1,200.0,100474.0
20190105:1900,-41.91,69.9,0.0,-0.0,0.0,117.2,1.17,198.0,100464.0
20190105:2000,-42.14,69.35,0.0,-0.0,0.0,122.4,1.03,200.0,100454.0
20190105:2100,-42.37,68.8,0.0,-0.0,0.0,118.95,1.03,204.0,100434.0
20190105:2200,-42.63,68.5,0.0,-0.0,0.0,119.15,0.97,209.0,100503.0
20190105:2300,-42.98,68.0,0.0,-0.0,0.0,118.95,0.9,213.0,100454.0
20190106:0000,-43.36,67.95,0.0,-0.0,0.0,123.95,0.9,215.0,100444.0
20190106:0100,-43.61,67.95,0.0,-0.0,0.0,120.75,0.9,212.0,100385.0
20190106:0200,-43.61,67.5,0.0,-0.0,0.0,126.45,0.83,213.0,100356.0
20190106:0300,-43.89,67.55,0.0,-0.0,0.0,119.15,0.83,213.0,100316.0
20190106:0400,-44.1,67.55,0.0,-0.0,0.0,118.75,0.9,211.0,100316.0
20190106:0500,-44.14,67.5,0.0,-0.0,0.0,119.35,0.9,208.0,100287.0
20190106:0600,-43.94,67.65,0.0,-0.0,0.0,122.25,0.9,206.0,100297.0
20190106:0700,-43.92,67.4,0.0,-0.0,0.0,121.45,0.83,209.0,100247.0
20190106:0800,-43.85,67.4,0.0,-0.0,0.0,133.2,0.69,209.0,100208.0
20190106:0900,-43.87,67.35,0.0,-0.0,0.0,132.25,0.69,211.0,100208.0
20190106:1000,-43.73,67.35,0.0,-0.0,0.0,136.5,0.62,213.0,100267.0
20190106:1100,-43.14,67.4,0.0,-0.0,0.0,143.45,0.62,212.0,100247.0
20190106:1200,-42.8,67.75,0.0,-0.0,0.0,143.05,0.55,203.0,100198.0
20190106:1300,-42.48,67.8,0.0,-0.0,0.0,140.55,0.55,189.0,100159.0
20190106:1400,-42.91,67.55,0.0,-0.0,0.0,139.95,0.48,185.0,100100.0
20190106:1500,-42.71,67.6,0.0,-0.0,0.0,144.0,0.34,185.0,100090.0
20190106:1600,-42.67,67.6,0.0,-0.0,0.0,150.95,0.34,183.0,100041.0
20190106:1700,-42.4,67.85,0.0,-0.0,0.0,151.35,0.34,186.0,100021.0
20190106:1800,-41.92,67.95,0.0,-0.0,0.0,154.65,0.28,186.0,99992.0
20190106:1900,-40.45,67.6,0.0,-0.0,0.0,161.75,0.28,204.0,99972.0
20190106:2000,-40.35,67.45,0.0,-0.0,0.0,161.0,0.21,224.0,99933.0
20190106:2100,-40.21,67.0,0.0,-0.0,0.0,158.7,0.14,229.0,99933.0
20190106:2200,-40.0,67.2,0.0,-0.0,0.0,158.85,0.21,232.0,99992.0
20190106:2300,-39.88,67.45,0.0,-0.0,0.0,155.2,0.21,219.0,99992.0
20190107:0000,-39.7,67.95,0.0,-0.0,0.0,156.95,0.34,218.0,99972.0
20190107:0100,-39.71,68.0,0.0,-0.0,0.0,150.25,0.48,216.0,99943.0
20190107:0200,-39.85,68.4,0.0,-0.0,0.0,143.25,0.55,213.0,99903.0
20190107:0300,-39.99,68.45,0.1,0.0,0.1,143.45,0.55,214.0,99893.0
20190107:0400,-40.02,68.85,0.0,-0.0,0.0,147.5,0.55,218.0,99903.0
20190107:0500,-40.09,68.95,0.0,-0.0,0.0,144.2,0.62,218.0,99962.0
20190107:0600,-40.14,69.1,0.0,-0.0,0.0,147.5,0.62,219.0,99943.0
20190107:0700,-41.74,68.1,0.0,-0.0,0.0,136.5,0.97,225.0,99952.0
20190107:0800,-42.11,67.95,0.0,-0.0,0.0,130.9,1.03,224.0,99952.0
20190107:0900,-42.46,67.8,0.0,-0.0,0.0,127.25,1.03,221.0,99972.0
20190107:1000,-42.92,67.6,0.0,-0.0,0.0,122.6,0.97,222.0,100031.0
20190107:1100,-43.14,67.35,0.0,-0.0,0.0,130.15,0.9,219.0,100061.0
20190107:1200,-43.54,67.45,0.0,-0.0,0.0,123.0,0.97,222.0,100021.0
20190107:1300,-43.75,67.3,0.0,-0.0,0.0,123.6,0.97,222.0,100011.0
20190107:1400,-43.95,67.3,0.0,-0.0,0.0,120.5,1.03,220.0,100011.0
20190107:1500,-44.19,67.3,0.0,-0.0,0.0,118.55,1.03,217.0,99982.0
20190107:1600,-44.56,67.05,0.0,-0.0,0.0,118.55,1.03,216.0,99972.0
20190107:1700,-44.82,67.1,0.0,-0.0,0.0,117.6,0.97,215.0,99972.0
20190107:1800,-44.97,66.9,0.0,-0.0,0.0,120.7,0.97,215.0,99982.0
20190107:1900,-45.05,67.1,0.0,-0.0,0.0,120.3,1.03,207.0,99992.0
20190107:2000,-45.67,66.7,0.0,-0.0,0.0,119.15,1.03,214.0,99952.0
20190107:2100,-45.81,66.5,0.0,-0.0,0.0,122.4,0.97,213.0,99972.0
20190107:2200,-45.98,66.4,0.0,-0.0,0.0,118.0,0.97,213.0,100070.0
20190107:2300,-46.14,66.45,0.0,-0.0,0.0,114.9,0.97,211.0,100090.0
20190108:0000,-46.37,66.3,0.0,-0.0,0.0,113.95,0.97,211.0,100041.0
20190108:0100,-46.49,66.5,0.0,-0.0,0.0,114.0,1.03,208.0,100011.0
20190108:0200,-46.38,66.6,0.0,-0.0,0.0,118.55,1.03,205.0,99943.0
20190108:0300,-46.27,66.65,0.25,0.0,0.25,118.0,1.1,205.0,99923.0
20190108:0400,-46.13,66.85,0.0,-0.0,0.0,115.5,1.1,206.0,99933.0
20190108:0500,-45.98,67.05,0.0,-0.0,0.0,116.85,1.1,208.0,99933.0
20190108:0600,-45.87,66.8,0.0,-0.0,0.0,118.2,1.03,206.0,99933.0
20190108:0700,-46.67,66.35,0.0,-0.0,0.0,119.35,1.1,200.0,99923.0
20190108:0800,-46.88,65.8,0.0,-0.0,0.0,131.7,0.9,206.0,99874.0
20190108:0900,-46.41,65.95,0.0,-0.0,0.0,126.65,1.03,214.0,99913.0
20190108:1000,-46.04,66.1,0.0,-0.0,0.0,121.45,1.17,211.0,100002.0
20190108:1100,-45.78,65.05,0.0,-0.0,0.0,120.7,1.17,207.0,99972.0
20190108:1200,-45.58,65.2,0.0,-0.0,0.0,122.8,1.1,192.0,99952.0
20190108:1300,-45.96,66.05,0.0,-0.0,0.0,129.95,0.9,187.0,99923.0
20190108:1400,-45.76,66.05,0.0,-0.0,0.0,121.65,1.03,205.0,99874.0
20190108:1500,-45.48,66.4,0.0,-0.0,0.0,123.2,1.17,202.0,99874.0
20190108:1600,-45.28,65.7,0.0,-0.0,0.0,122.4,1.31,197.0,99893.0
20190108:1700,-45.15,65.5,0.0,-0.0,0.0,122.05,1.24,201.0,99874.0
20190108:1800,-45.08,65.4,0.0,-0.0,0.0,122.6,1.1,205.0,99854.0
20190108:1900,-45.46,65.2,0.0,-0.0,0.0,124.15,1.17,199.0,99864.0
20190108:2000,-45.48,65.15,0.0,-0.0,0.0,125.9,1.17,194.0,99834.0
20190108:2100,-45.36,65.5,0.0,-0.0,0.0,128.4,1.17,197.0,99844.0
20190108:2200,-45.24,64.9,0.0,-0.0,0.0,126.3,1.17,201.0,99903.0
20190108:2300,-44.96,64.75,0.0,-0.0,0.0,133.05,1.1,201.0,99913.0
20190109:0000,-44.63,65.45,0.0,-0.0,0.0,138.45,1.03,200.0,99933.0
20190109:0100,-44.29,65.1,0.0,-0.0,0.0,139.05,1.03,201.0,99903.0
20190109:0200,-44.11,65.35,0.0,-0.0,0.0,134.75,0.97,198.0,99864.0
20190109:0300,-44.0,65.1,0.6,0.0,0.6,133.2,0.97,195.0,99864.0
20190109:0400,-43.92,65.1,0.0,-0.0,0.0,131.5,0.97,199.0,99854.0
20190109:0500,-43.95,65.05,0.0,-0.0,0.0,128.4,1.03,205.0,99893.0
20190109:0600,-43.93,65.65,0.0,-0.0,0.0,127.65,1.17,211.0,99884.0
20190109:0700,-44.31,64.85,0.0,-0.0,0.0,127.25,1.24,214.0,99874.0
20190109:0800,-44.47,66.2,0.0,-0.0,0.0,128.2,1.17,207.0,99913.0
20190109:0900,-44.39,65.75,0.0,-0.0,0.0,125.5,1.1,193.0,99923.0
20190109:1000,-44.34,65.6,0.0,-0.0,0.0,126.3,1.1,197.0,99952.0
20190109:1100,-44.18,66.15,0.0,-0.0,0.0,127.45,1.24,207.0,100002.0
20190109:1200,-43.81,66.5,0.0,-0.0,0.0,131.7,1.31,211.0,99982.0
20190109:1300,-43.16,66.55,0.0,-0.0,0.0,143.45,1.17,204.0,99982.0
20190109:1400,-42.76,66.7,0.0,-0.0,0.0,141.3,1.1,198.0,99992.0
20190109:1500,-42.55,66.4,0.0,-0.0,0.0,138.05,1.1,202.0,99962.0
20190109:1600,-42.26,66.45,0.0,-0.0,0.0,140.35,1.03,202.0,99972.0
20190109:1700,-41.86,65.9,0.0,-0.0,0.0,146.7,0.97,195.0,99982.0
20190109:1800,-41.66,65.8,0.0,-0.0,0.0,145.2,0.9,193.0,100002.0
20190109:1900,-42.14,67.9,0.0,-0.0,0.0,139.2,1.03,190.0,100011.0
20190109:2000,-42.44,67.9,0.0,-0.0,0.0,138.45,1.17,204.0,99992.0
20190109:2100,-42.41,67.7,0.0,-0.0,0.0,141.15,1.03,202.0,100011.0
20190109:2200,-42.14,67.65,0.0,-0.0,0.0,147.7,0.83,192.0,100100.0
20190109:2300,-42.03,67.5,0.0,-0.0,0.0,145.2,0.76,188.0,100090.0
20190110:0000,-42.05,66.8,0.0,-0.0,0.0,139.6,0.83,202.0,100100.0
20190110:0100,-42.21,67.0,0.0,-0.0,0.0,134.8,0.9,211.0,100070.0
20190110:0200,-41.93,66.9,0.0,-0.0,0.0,152.5,0.69,206.0,100011.0
20190110:0300,-41.85,67.4,1.15,0.0,1.15,143.85,0.62,188.0,100080.0
20190110:0400,-41.94,67.65,2.6,0.0,2.6,145.2,0.55,168.0,100090.0
20190110:0500,-42.21,67.85,0.0,-0.0,0.0,140.15,0.62,196.0,100061.0
20190110:0600,-42.36,68.0,0.0,-0.0,0.0,136.1,0.9,227.0,100080.0
20190110:0700,-42.34,67.7,0.0,-0.0,0.0,136.1,0.9,220.0,100051.0
20190110:0800,-42.86,67.4,0.0,-0.0,0.0,144.6,0.62,213.0,100090.0
20190110:0900,-43.09,67.55,0.0,-0.0,0.0,136.1,0.62,208.0,100070.0
20190110:1000,-43.38,67.2,0.0,-0.0,0.0,129.55,0.69,205.0,100100.0
20190110:1100,-43.66,67.15,0.0,-0.0,0.0,134.95,0.69,201.0,100110.0
20190110:1200,-44.1,67.1,0.0,-0.0,0.0,133.05,0.69,198.0,100090.0
20190110:1300,-43.92,66.9,0.0,-0.0,0.0,133.6,0.69,199.0,100070.0
20190110:1400,-43.13,67.45,0.0,-0.0,0.0,141.15,0.62,200.0,100041.0
20190110:1500,-43.04,67.4,0.0,-0.0,0.0,142.3,0.55,202.0,100021.0
20190110:1600,-42.36,67.65,0.0,-0.0,0.0,150.6,0.55,208.0,100002.0
20190110:1700,-41.33,68.4,0.0,-0.0,0.0,168.3,0.41,202.0,99982.0
20190110:1800,-40.26,68.55,0.0,-0.0,0.0,171.2,0.41,202.0,100002.0
20190110:1900,-39.52,69.4,0.0,-0.0,0.0,168.7,0.62,179.0,99962.0
20190110:2000,-39.11,69.55,0.0,-0.0,0.0,166.6,0.62,180.0,99982.0
20190110:2100,-38.68,69.6,0.0,-0.0,0.0,168.3,0.55,178.0,99962.0
20190110:2200,-38.19,69.95,0.0,-0.0,0.0,172.35,0.55,183.0,100021.0
20190110:2300,-37.89,70.1,0.0,-0.0,0.0,171.2,0.48,188.0,100021.0
20190111:0000,-37.45,70.15,0.0,-0.0,0.0,177.0,0.41,194.0,100011.0
20190111:0100,-37.37,70.55,0.0,-0.0,0.0,170.7,0.48,190.0,99982.0
20190111:0200,-37.3,70.5,0.0,-0.0,0.0,169.85,0.55,193.0,99982.0
20190111:0300,-37.44,70.45,1.9,0.0,1.9,160.8,0.69,191.0,100002.0
20190111:0400,-37.58,70.45,3.85,0.0,3.85,158.1,0.76,187.0,100051.0
20190111:0500,-38.36,70.0,0.0,-0.0,0.0,157.35,0.62,181.0,100080.0
20190111:0600,-39.3,69.5,0.0,-0.0,0.0,156.35,0.41,186.0,100129.0
20190111:0700,-39.06,69.6,0.0,-0.0,0.0,141.15,0.76,202.0,100139.0
20190111:0800,-39.56,69.4,0.0,-0.0,0.0,141.9,0.76,208.0,100188.0
20190111:0900,-40.37,68.9,0.0,-0.0,0.0,131.7,0.9,211.0,100208.0
20190111:1000,-41.18,68.5,0.0,-0.0,0.0,127.8,0.97,214.0,100297.0
20190111:1100,-42.23,67.85,0.0,-0.0,0.0,130.5,0.9,217.0,100336.0
20190111:1200,-42.63,67.9,0.0,-0.0,0.0,124.55,0.9,216.0,100375.0
20190111:1300,-42.96,67.75,0.0,-0.0,0.0,124.15,0.97,212.0,100415.0
20190111:1400,-43.24,67.7,0.0,-0.0,0.0,124.35,0.97,212.0,100385.0
20190111:1500,-43.4,67.75,0.0,-0.0,0.0,124.55,0.97,212.0,100464.0
20190111:1600,-43.56,67.75,0.0,-0.0,0.0,125.3,0.9,213.0,100483.0
20190111:1700,-43.72,67.65,0.0,-0.0,0.0,126.85,0.9,215.0,100503.0
20190111:1800,-43.55,67.75,0.0,-0.0,0.0,132.65,0.9,217.0,100552.0
20190111:1900,-43.54,67.7,0.0,-0.0,0.0,132.85,0.97,213.0,100572.0
20190111:2000,-43.22,67.55,0.0,-0.0,0.0,140.35,0.9,212.0,100631.0
20190111:2100,-42.81,67.8,0.0,-0.0,0.0,142.1,0.9,214.0,100641.0
20190111:2200,-42.24,67.45,0.0,-0.0,0.0,145.0,0.97,214.0,100749.0
20190111:2300,-41.74,67.1,0.0,-0.0,0.0,144.4,0.97,212.0,100818.0
20190112:0000,-41.59,67.2,0.0,-0.0,0.0,134.2,1.03,211.0,100847.0
20190112:0100,-41.18,66.75,0.0,-0.0,0.0,141.35,0.97,205.0,100857.0
20190112:0200,-41.07,66.75,0.0,-0.0,0.0,134.95,0.9,205.0,100867.0
20190112:0300,-40.72,66.65,2.4,0.0,2.4,138.45,0.76,207.0,100887.0
20190112:0400,-40.46,66.05,4.45,0.0,4.45,129.15,0.83,210.0,100926.0
20190112:0500,-40.2,65.35,0.0,-0.0,0.0,126.85,0.83,209.0,100965.0
20190112:0600,-39.77,64.8,0.0,-0.0,0.0,126.1,0.83,207.0,101005.0
20190112:0700,-40.75,66.6,0.0,-0.0,0.0,122.6,0.9,197.0,101024.0
20190112:0800,-40.8,67.2,0.0,-0.0,0.0,121.85,0.9,200.0,101064.0
20190112:0900,-40.65,68.55,0.0,-0.0,0.0,122.25,0.83,207.0,101093.0
20190112:1000,-40.68,68.75,0.0,-0.0,0.0,120.5,0.76,208.0,101221.0
20190112:1100,-40.66,68.85,0.0,-0.0,0.0,118.4,0.69,207.0,101280.0
20190112:1200,-40.69,68.55,0.0,-0.0,0.0,117.6,0.83,208.0,101309.0
20190112:1300,-40.64,68.7,0.0,-0.0,0.0,117.8,0.9,210.0,101339.0
20190112:1400,-41.11,69.15,0.0,-0.0,0.0,116.25,1.03,215.0,101339.0
20190112:1500,-41.6,69.55,0.0,-0.0,0.0,115.85,1.1,218.0,101388.0
20190112:1600,-42.04,69.4,0.0,-0.0,0.0,115.85,1.1,220.0,101437.0
20190112:1700,-42.68,69.35,0.0,-0.0,0.0,115.5,1.17,222.0,101477.0
20190112:1800,-43.38,69.35,0.0,-0.0,0.0,119.15,1.24,222.0,101545.0
20190112:1900,-44.48,68.5,0.0,-0.0,0.0,114.15,1.24,222.0,101595.0
20190112:2000,-45.01,67.8,0.0,-0.0,0.0,123.6,1.24,219.0,101634.0
20190112:2100,-45.29,67.7,0.0,-0.0,0.0,116.85,1.24,218.0,101693.0
20190112:2200,-45.5,67.7,0.0,-0.0,0.0,113.75,1.31,216.0,101781.0
20190112:2300,-45.4,67.9,0.0,-0.0,0.0,116.25,1.31,213.0,101840.0
20190113:0000,-45.35,67.9,0.0,-0.0,0.0,114.5,1.31,209.0,101899.0
20190113:0100,-45.21,68.25,0.0,-0.0,0.0,115.35,1.31,207.0,101909.0
20190113:0200,-45.59,68.1,0.0,-0.0,0.0,111.25,1.38,204.0,101939.0
20190113:0300,-45.55,68.05,3.2,0.0,3.2,113.35,1.31,204.0,101949.0
20190113:0400,-45.27,67.65,5.45,0.0,5.45,120.7,1.17,203.0,101998.0
20190113:0500,-45.38,67.55,0.0,-0.0,0.0,113.55,1.1,202.0,102027.0
20190113:0600,-45.43,67.6,0.0,-0.0,0.0,111.65,1.1,201.0,102086.0
20190113:0700,-45.37,67.45,0.0,-0.0,0.0,108.55,1.03,200.0,102096.0
20190113:0800,-45.63,67.05,0.0,-0.0,0.0,121.65,0.97,200.0,102106.0
